,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
0,05/04/2020,KY,5245,5245.0,0.0,115,0.0,261,261.0,0.0,8,0.0,05/05/2020 05:25:08 PM,Agree,Agree
1,12/08/2020,OK,205999,171497.0,34502.0,0,0.0,1752,1680.0,72.0,0,0.0,12/09/2020 02:45:40 PM,Agree,Agree
2,04/30/2020,IA,7145,,,302,0.0,162,,,14,0.0,05/01/2020 09:00:19 PM,Not agree,Not agree
3,06/25/2020,NE,18346,,,125,0.0,260,,,3,0.0,06/26/2020 07:18:27 PM,Not agree,Not agree
4,02/24/2020,CA,10,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
5,11/14/2020,VA,201961,183455.0,18506.0,1161,191.0,3800,3527.0,273.0,1,0.0,11/15/2020 03:12:13 PM,Agree,Agree
6,12/02/2020,NY,346492,,,5775,0.0,10117,,,56,0.0,12/03/2020 03:21:08 PM,Not agree,Not agree
7,01/23/2020,WY,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
8,05/05/2020,GA,28196,28182.0,14.0,602,1.0,1258,1258.0,0.0,47,0.0,05/06/2020 12:23:08 PM,Agree,Agree
9,01/29/2020,MA,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
10,02/25/2020,NJ,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Agree
11,05/16/2020,AS,0,,,0,0.0,0,,,0,0.0,05/17/2020 03:27:46 PM,,
12,03/13/2020,MS,1,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
13,12/10/2020,WY,38223,33203.0,5020.0,338,24.0,299,299.0,0.0,0,0.0,12/11/2020 03:06:51 PM,Agree,Agree
14,04/04/2020,MI,14225,,,1555,,540,,,62,,04/03/2020 04:22:39 PM,Agree,Agree
15,10/19/2020,MA,151370,141474.0,9896.0,827,0.0,9740,9532.0,208.0,15,0.0,10/20/2020 02:59:27 PM,Agree,Agree
16,06/18/2020,NJ,168107,,,404,0.0,12800,12800.0,0.0,31,0.0,06/19/2020 03:01:11 PM,Not agree,Agree
17,12/02/2020,AR,161521,,,2212,705.0,2522,,,10,2.0,12/03/2020 03:21:08 PM,Not agree,Not agree
18,05/14/2020,VA,28672,27293.0,1379.0,859,35.0,977,944.0,33.0,22,5.0,05/15/2020 04:11:22 PM,Agree,Agree
19,11/12/2020,GA,416217,379873.0,36344.0,2802,265.0,8881,8403.0,478.0,548,478.0,11/13/2020 09:54:34 AM,Agree,Agree
